orig,hira,vowel
迂闊,うかつ,uau
うごかす,うごかす,uoau
うだつ,うだつ,uau
内幕,うちまく,uiau
うまず,うまず,uau
上役,うわやく,uaau
蜾蠃,すがる,uau
旧悪,きゅうあく,uuau
嗅覚,きゅうかく,uuau
休学,きゅうがく,uuau
久闊,きゅうかつ,uuau
吸着,きゅうちゃく,uuau
窮迫,きゅうはく,uuau
急落,きゅうらく,uuau
空闊,くうかつ,uuau
空白,くうはく,uuau
空幕,くうばく,uuau
空爆,くうばく,uuau
空発,くうはつ,uuau
偶発,ぐうはつ,uuau
区劃,くかく,uau
区画,くかく,uau
具格,ぐかく,uau
九月,くがつ,uau
愚策,ぐさく,uau
句作,くさく,uau
クジャク,くじゃく,uau
孔雀,くじゃく,uau
くちかず,くちかず,uiau
口パク,くちぱく,uiau
掘削,くっさく,uau
掘鑿,くっさく,uau
屈託,くったく,uau
瞿麦,くばく,uau
くもざる,くもざる,uoau
苦厄,くやく,uau
苦楽,くらく,uau
クラス,くらす,uau
グラス,ぐらす,uau
クラッシュ,くらっしゅ,uau
クラブ,くらぶ,uau
倶楽部,くらぶ,uau
グラフ,ぐらふ,uau
グラム,ぐらむ,uau
黒幕,くろまく,uoau
くろまつ,くろまつ,uoau
群鶴,ぐんかく,unau
軍拡,ぐんかく,unau
軍学,ぐんがく,unau
軍楽,ぐんがく,unau
軍閥,ぐんばつ,unau
群落,ぐんらく,unau
牛角,ぎゅうかく,uuau
醜悪,しゅうあく,uuau
重圧,じゅうあつ,uuau
収穫,しゅうかく,uuau
臭覚,しゅうかく,uuau
修学,しゅうがく,uuau
宗学,しゅうがく,uuau
就学,しゅうがく,uuau
就活,しゅうかつ,uuau
十月,じゅうがつ,uuau
集客,しゅうきゃく,uuau
習作,しゅうさく,uuau
重刷,じゅうさつ,uuau
銃殺,じゅうさつ,uuau
住宅,じゅうたく,uuau
収奪,しゅうだつ,uuau
執着,しゅうちゃく,uuau
執著,しゅうちゃく,uuau
祝着,しゅうちゃく,uuau
終着,しゅうちゃく,uuau
就縛,しゅうばく,uuau
終発,しゅうはつ,uuau
秀抜,しゅうばつ,uuau
終幕,しゅうまく,uuau
終末,しゅうまつ,uuau
週末,しゅうまつ,uuau
集約,しゅうやく,uuau
十薬,じゅうやく,uuau
重役,じゅうやく,uuau
重訳,じゅうやく,uuau
集落,しゅうらく,uuau
儒学,じゅがく,uau
主格,しゅかく,uau
主客,しゅかく,uau
縮尺,しゅくしゃく,uuau
熟達,じゅくたつ,uuau
宿泊,しゅくはく,uuau
菽麦,しゅくばく,uuau
縮約,しゅくやく,uuau
受諾,じゅだく,uau
手沢,しゅたく,uau
受託,じゅたく,uau
出格,しゅっかく,uau
述作,じゅっさく,uau
出札,しゅっさつ,uau
出立,しゅったつ,uau
出発,しゅっぱつ,uau
呪縛,じゅばく,uau
主脈,しゅみゃく,uau
主役,しゅやく,uau
シュラフ,しゅらふ,uau
修惑,しゅわく,uau
潤滑,じゅんかつ,unau
巡察,じゅんさつ,unau
巡錫,じゅんしゃく,unau
潤沢,じゅんたく,unau
純白,じゅんぱく,unau
水圧,すいあつ,uiau
推察,すいさつ,uiau
垂迹,すいじゃく,uiau
衰弱,すいじゃく,uiau
水爆,すいばく,uiau
髄膜,ずいまく,uiau
水脈,すいみゃく,uiau
数学,すうがく,uuau
スカッシュ,すかっしゅ,uau
スクラップ,すくらっぷ,uuau
朱雀,しゅじゃく,uau
錫箔,すずはく,uuau
スタッフ,すたっふ,uau
スタブ,すたぶ,uau
スラム,すらむ,uau
スワップ,すわっぷ,uau
中学,ちゅうがく,uuau
中核,ちゅうかく,uuau
誅殺,ちゅうさつ,uuau
駐箚,ちゅうさつ,uuau
注釈,ちゅうしゃく,uuau
註釈,ちゅうしゃく,uuau
中略,ちゅうりゃく,uuau
