orig,hira,vowel
おいらく,おいらく,oiau
おいらん,おいらん,oian
往還,おうかん,ouan
王冠,おうかん,ouan
応札,おうさつ,ouau
殴殺,おうさつ,ouau
鏖殺,おうさつ,ouau
応諾,おうだく,ouau
横断,おうだん,ouan
黄疸,おうだん,ouan
横着,おうちゃく,ouau
押捺,おうなつ,ounau
黄檗,おうばく,ouau
黄斑,おうはん,ouan
おおざる,おおざる,ooau
オーシャン,おーしゃん,ooan
オーナス,おーなす,oonau
オオバン,おおばん,ooan
大鷭,おおばん,ooan
大判,おおばん,ooan
大番,おおばん,ooan
おくさん,おくさん,ouan
臆断,おくだん,ouan
億万,おくまん,ouan
おじさん,おじさん,oian
遅番,おそばん,ooan
おっかさん,おっかさん,oaan
オパール,おぱーる,oaau
おばさん,おばさん,oaan
おもわく,おもわく,ooau
思惑,おもわく,ooau
オルガン,おるがん,ouan
温覚,おんかく,onau
音楽,おんがく,onau
音感,おんかん,onan
温石,おんじゃく,onau
恩沢,おんたく,onau
温暖,おんだん,onan
音盤,おんばん,onan
音訳,おんやく,onau
兇悪,きょうあく,ouau
凶悪,きょうあく,ouau
侠客,きょうかく,ouau
恐嚇,きょうかく,ouau
胸郭,きょうかく,ouau
京学,きょうがく,ouau
共学,きょうがく,ouau
教学,きょうがく,ouau
驚愕,きょうがく,ouau
仰角,ぎょうかく,ouau
行革,ぎょうかく,ouau
恐喝,きょうかつ,ouau
京官,きょうかん,ouan
兇漢,きょうかん,ouan
共感,きょうかん,ouan
共管,きょうかん,ouan
凶漢,きょうかん,ouan
叫喚,きょうかん,ouan
峡間,きょうかん,ouan
教官,きょうかん,ouan
経巻,きょうかん,ouan
胸間,きょうかん,ouan
郷関,きょうかん,ouan
鏡鑑,きょうかん,ouan
行間,ぎょうかん,ouan
橋脚,きょうきゃく,ouau
狭窄,きょうさく,ouau
凶作,きょうさく,ouau
夾雑,きょうざつ,ouau
共産,きょうさん,ouan
協賛,きょうさん,ouan
強酸,きょうさん,ouan
強弱,きょうじゃく,ouau
怯弱,きょうじゃく,ouau
供託,きょうたく,ouau
教卓,きょうたく,ouau
驚嘆,きょうたん,ouan
凶弾,きょうだん,ouan
教団,きょうだん,ouan
教壇,きょうだん,ouan
凝着,ぎょうちゃく,ouau
強拍,きょうはく,ouau
強迫,きょうはく,ouau
脅迫,きょうはく,ouau
共犯,きょうはん,ouan
橋畔,きょうはん,ouan
行末,ぎょうまつ,ouau
軽慢,きょうまん,ouan
驕慢,きょうまん,ouan
共役,きょうやく,ouau
協約,きょうやく,ouau
享楽,きょうらく,ouau
京洛,きょうらく,ouau
競落,きょうらく,ouau
供覧,きょうらん,ouan
狂乱,きょうらん,ouan
狂瀾,きょうらん,ouan
峡湾,きょうわん,ouan
極端,きょくたん,ouan
極核,きょくかく,ouau
虚無感,きょむかん,ouan
警策,きょうさく,ouau
光圧,こうあつ,ouau
降圧,こうあつ,ouau
高圧,こうあつ,ouau
公安,こうあん,ouan
公案,こうあん,ouan
考案,こうあん,ouan
交角,こうかく,ouau
光覚,こうかく,ouau
口角,こうかく,ouau
広角,こうかく,ouau
後角,こうかく,ouau
甲殻,こうかく,ouau
磽确,こうかく,ouau
考覈,こうかく,ouau
行客,こうかく,ouau
降格,こうかく,ouau
高角,こうかく,ouau
高閣,こうかく,ouau
光学,こうがく,ouau
向学,こうがく,ouau
好学,こうがく,ouau
工学,こうがく,ouau
後学,こうがく,ouau
講学,こうがく,ouau
高額,こうがく,ouau
合格,ごうかく,ouau
郷学,きょうがく,ouau
狡猾,こうかつ,ouau
交換,こうかん,ouan
交歓,こうかん,ouan
交驩,こうかん,ouan
公刊,こうかん,ouan
公館,こうかん,ouan
向寒,こうかん,ouan
好感,こうかん,ouan
好漢,こうかん,ouan
巷間,こうかん,ouan
後患,こうかん,ouan
構陥,こうかん,ouan
槓桿,こうかん,ouan
浩瀚,こうかん,ouan
皇漢,こうかん,ouan
鋼管,こうかん,ouan
高官,こうかん,ouan
厚顔,こうがん,ouan
睾丸,こうがん,ouan
紅顔,こうがん,ouan
合歓,ごうかん,ouan
強姦,ごうかん,ouan
交錯,こうさく,ouau
工作,こうさく,ouau
耕作,こうさく,ouau
鋼索,こうさく,ouau
絞殺,こうさつ,ouau
考察,こうさつ,ouau
高札,こうさつ,ouau
交雑,こうざつ,ouau
強殺,ごうさつ,ouau
公算,こうさん,ouan
恒産,こうさん,ouan
鉱産,こうさん,ouan
降参,こうさん,ouan
鉱山,こうざん,ouan
高山,こうざん,ouan
侯爵,こうしゃく,ouau
公爵,こうしゃく,ouau
講釈,こうしゃく,ouau
光沢,こうたく,ouau
黄濁,こうだく,ouau
強奪,ごうだつ,ouau
後端,こうたん,ouan
荒誕,こうたん,ouan
降誕,こうたん,ouan
公団,こうだん,ouan
巷談,こうだん,ouan
後段,こうだん,ouan
講談,こうだん,ouan
降壇,こうだん,ouan
剛胆,ごうたん,ouan
豪胆,ごうたん,ouan
膠着,こうちゃく,ouau
降着,こうちゃく,ouau
後難,こうなん,ounan
江南,こうなん,ounan
硬軟,こうなん,ounan
厚薄,こうはく,ouau
広博,こうはく,ouau
紅白,こうはく,ouau
黄白,こうはく,ouau
広漠,こうばく,ouau
後発,こうはつ,ouau
攻伐,こうばつ,ouau
公判,こうはん,ouan
孔版,こうはん,ouan
広汎,こうはん,ouan
広範,こうはん,ouan
後半,こうはん,ouan
鋼板,こうばん,ouan
交番,こうばん,ouan
降板,こうばん,ouan
合板,ごうはん,ouan
毫末,ごうまつ,ouau
