orig,hira,kana,hepburn,kunrei,passport
word,word,word,word,word,word
嗚呼,ああ,アア,aa,aa,aa
アーカイバー,あーかいばー,アーカイバー,aakaibaa,aakaibaa,aakaibaa
アーカイブ,あーかいぶ,アーカイブ,aakaibu,aakaibu,aakaibu
アーキテクト,あーきてくと,アーキテクト,aakitekuto,aakitekuto,aakitekuto
アーキビスト,あーきびすと,アーキビスト,aakibisuto,aakibisuto,aakibisuto
アーク,あーく,アーク,aaku,aaku,aaku
アークスペクトル,あーくすぺくとる,アークスペクトル,aakusupekutoru,aakusupekutoru,aakusupekutoru
アークライト,あーくらいと,アークライト,aakuraito,aakuraito,aakuraito
アークランプ,あーくらんぷ,アークランプ,aakuranpu,aakuranpu,aakurampu
AG,AG,AG,AG,AG,AG
アーケード,あーけーど,アーケード,aakeedo,aakeedo,aakeedo
アース,あーす,アース,aasu,aasu,aasu
アーチ,あーち,アーチ,aachi,aati,aachi
アーチェリー,あーちぇりー,アーチェリー,aacherii,aatyerii,aachierii
アーティキュレーション,あーてぃきゅれーしょん,アーティキュレーション,aateikyureeshon,aateikyureesyon,aateikyureeshon
アーティクル,あーてぃくる,アーティクル,aateikuru,aateikuru,aateikuru
アーティスティックスイミング,あーてぃすてぃっくすいみんぐ,アーティスティックスイミング,aateisuteikkusuimingu,aateisuteikkusuimingu,aateisuteikkusuimingu
アーティスト,あーてぃすと,アーティスト,aateisuto,aateisuto,aateisuto
アーティチョーク,あーてぃちょーく,アーティチョーク,aateichooku,aateityooku,aateichooku
アート,あーと,アート,aato,aato,aato
アードウルフ,あーどうるふ,アードウルフ,aadourufu,aadourufu,aadourufu
アートタイプ,あーとたいぷ,アートタイプ,aatotaipu,aatotaipu,aatotaipu
アートフラワー,あーとふらわー,アートフラワー,aatofurawaa,aatofurawaa,aatofurawaa
アートペーパー,あーとぺーぱー,アートペーパー,aatopeepaa,aatopeepaa,aatopeepaa
アーヒラ,あーひら,アーヒラ,aahira,aahira,aahira
アーム,あーむ,アーム,aamu,aamu,aamu
アームレスリング,あーむれすりんぐ,アームレスリング,aamuresuringu,aamuresuringu,aamuresuringu
