orig,hira,vowel
嗚呼,ああ,aa
アーカイバー,あーかいばー,aaaiaa
アーカイブ,あーかいぶ,aaaiu
アーキテクト,あーきてくと,aaieuo
アーキビスト,あーきびすと,aaiiuo
アーク,あーく,aau
アークスペクトル,あーくすぺくとる,aauueuou
アークライト,あーくらいと,aauaio
アークランプ,あーくらんぷ,aauanu
AG,AG,
アーケード,あーけーど,aaeeo
アース,あーす,aau
アーチ,あーち,aai
アーチェリー,あーちぇりー,aaeii
アーティキュレーション,あーてぃきゅれーしょん,aaeiueeon
アーティクル,あーてぃくる,aaeiuu
アーティスティックスイミング,あーてぃすてぃっくすいみんぐ,aaeiueiuuiinu
アーティスト,あーてぃすと,aaeiuo
アーティチョーク,あーてぃちょーく,aaeioou
アート,あーと,aao
アードウルフ,あーどうるふ,aaouuu
アートタイプ,あーとたいぷ,aaoaiu
アートフラワー,あーとふらわー,aaouaaa
アートペーパー,あーとぺーぱー,aaoeeaa
アーヒラ,あーひら,aaia
アーム,あーむ,aau
アームレスリング,あーむれすりんぐ,aaueuinu
ああめ,ああめ,aae
アーモンド,あーもんど,aaono
アール,あーる,aau
RNA,RNA,
アーンミーヤ,あーんみーや,aaniia
あい,あい,ai
アイ,あい,ai
哀,あい,ai
愛,あい,ai
相,そう,ou
藍,あい,ai
アイアイ,あいあい,aiai
あいあいがさ,あいあいがさ,aiaiaa
アイアン,あいあん,aian
愛育,あいいく,aiiu
あいいろ,あいいろ,aiio
藍色,あいいろ,aiio
哀韻,あいいん,aiin
合印,あいいん,aiin
愛飲,あいいん,aiin
あいうち,あいうち,aiui
愛液,あいえき,aiei
あいえつ,あいえつ,aieu
合縁,あいえん,aien
愛煙,あいえん,aien
愛煙家,あいえんか,aiena
あいおい,あいおい,aioi
IoT,IoT,o
あいおち,あいおち,aioi
あいおちこぎって,あいおちこぎって,aioioie
あいおもいぐさ,あいおもいぐさ,aiooiua
あいおれくぎ,あいおれくぎ,aioeui
あいかぎ,あいかぎ,aiai
あいがさ,あいがさ,aiaa
あいかた,あいかた,aiaa
あいがみ,あいがみ,aiai
あいがも,あいがも,aiao
あいかわ,あいかわ,aiaa
哀感,あいかん,aian
哀歓,あいかん,aian
哀願,あいがん,aian
愛玩,あいがん,aian
愛翫,あいがん,aian
愛玩動物,あいがんどうぶつ,aianouuu
噯気,おくび,oui
愛姫,あいき,aii
愛機,あいき,aii
あいぎ,あいぎ,aii
あいきどう,あいきどう,aiiou
合気道,あいきどう,aiiou
合氣道,あいきどう,aiiou
愛嬌,あいきょう,aiou
愛敬,あいきょう,aiou
愛郷,あいきょう,aiou
愛吟,あいぎん,aiin
あいくぎ,あいくぎ,aiui
あいくち,あいくち,aiui
あいぐらす,あいぐらす,aiuau
愛犬,あいけん,aien
あいこ,あいこ,aio
愛顧,あいこ,aio
あいご,あいご,aio
愛妓,あいぎ,aii
愛語,あいご,aio
愛護,あいご,aio
愛好,あいこう,aiou
愛幸,よしゆき,oiui
愛校,あいこう,aiou
愛好家,あいこうか,aioua
哀哭,あいこく,aiou
愛国,あいこく,aiou
愛國,あいこく,aiou
愛国心,あいこくしん,aiouin
あいことば,あいことば,aiooa
アイコン,あいこん,aion
アイコンタクト,あいこんたくと,aionauo
あいさ,あいさ,aia
愛妻,あいさい,aiai
あいさつ,あいさつ,aiau
挨拶,あいさつ,aiau
あいし,あいし,aii
哀史,あいし,aii
哀思,あいし,aii
哀詩,あいし,aii
愛子,あいこ,aio
愛児,あいじ,aii
IC,IC,
愛社,あいしゃ,aia
愛車,あいしゃ,aia
愛着,あいちゃく,aiau
アイシャドー,あいしゃどー,aiaoo
愛酒,あいしゅ,aiu
哀愁,あいしゅう,aiuu
愛執,あいしゅう,aiuu
哀傷,あいしょう,aiou
愛称,あいしょう,aiou
合性,ごうせい,ouei
愛唱,あいしょう,aiou
愛妾,あいしょう,aiou
愛誦,あいしょう,aiou
相性,あいしょう,aiou
哀情,あいじょう,aiou
愛嬢,あいじょう,aiou
愛情,あいじょう,aiou
愛唱歌,あいしょうか,aioua
愛心,あいしん,aiin
愛人,あいじん,aiin
アイス,あいす,aiu
あいず,あいず,aiu
アイスキャンディー,あいすきゃんでぃー,aiuanii
アイスクリーム,あいすくりーむ,aiuuiiu
アイスクリームサンデー,あいすくりーむさんでー,aiuuiiuanee
アイススケート,あいすすけーと,aiuueeo
アイスダンス,あいすだんす,aiuanu
アイスピック,あいすぴっく,aiuiu
アイスホッケー,あいすほっけー,aiuoee
あいずりがさ,あいずりがさ,aiuiaa
哀惜,あいせき,aiei
愛惜,あいせき,aiei
相席,あいせき,aiei
愛染,あいぜん,aien
アイゼン,あいぜん,aien
哀訴,あいそ,aio
愛想,あいそう,aiou
愛憎,あいぞう,aiou
愛蔵,あいぞう,aiou
愛藏,あいぞう,aiou
愛息,あいそく,aiou
アイソトープ,あいそとーぷ,aiooou
あいぞめ,あいぞめ,aioe
あいた,あいた,aia
あいだ,あいだ,aia
間,かん,an
あいだがら,あいだがら,aiaaa
あいたどころ,あいたどころ,aiaooo
あいたんどころ,あいたんどころ,aianooo
哀調,あいちょう,aiou
愛寵,あいちょう,aiou
愛聴,あいちょう,aiou
愛重,あいちょう,aiou
愛鳥,あいちょう,aiou
哀痛,あいつう,aiuu
あいづち,あいづち,aiui
あいて,あいて,aie
アイデア,あいであ,aiea
アイディア,あいでぃあ,aiia
相手方,あいてかた,aieaa
アイテム,あいてむ,aieu
アイデンティティ,あいでんてぃてぃ,aieneiei
アイデンティティー,あいでんてぃてぃー,aieneieii
哀悼,あいとう,aiou
愛読,あいどく,aiou
アイドル,あいどる,aiou
あいな,あいな,aina
あいなめ,あいなめ,ainae
アイナメ,あいなめ,ainae
アイヌ,あいぬ,ainu
アイヌワサビ,あいぬわさび,ainuaai
愛念,あいねん,ainen
あいのかぜ,あいのかぜ,ainoae
あいのこぶね,あいのこぶね,ainooune
あいのて,あいのて,ainoe
あいのり,あいのり,ainoi
愛馬,あいば,aia
あいば,あいば,aia
アイバソウ,あいばそう,aiaou
合判,あいはん,aian
相判,あいはん,aian
間判,あいばん,aian
IP,IP,
IBM,IBM,
あいびき,あいびき,aiii
愛猫,あいびょう,aiou
愛撫,あいぶ,aiu
あいふく,あいふく,aiuu
合服,あいふく,aiuu
愛別,あいべつ,aieu
アイベックス,あいべっくす,aieuu
愛慕,あいぼ,aio
相棒,あいぼう,aiou
あいま,あいま,aia
あいまい,あいまい,aiai
曖昧,あいまい,aiai
哀愍,あいみん,aiin
愛民,あいみん,aiin
あいむこ,あいむこ,aiuo
あいや,あいや,aia
相役,あいやく,aiau
愛用,あいよう,aiou
愛慾,あいよく,aiou
愛欲,あいよく,aiou
あいよめ,あいよめ,aioe
哀楽,あいらく,aiau
愛らしさ,あいらしさ,aiaia
アイリッシュコーヒー,あいりっしゅこーひー,aiiuooii
アイレットワーク,あいれっとわーく,aieoaau
哀憐,あいれん,aien
愛恋,あいれん,aien
愛憐,あいれん,aien
あいろ,あいろ,aio
隘路,あいろ,aio
アイロニー,あいろにー,aionii
アイロン,あいろん,aion
哀話,あいわ,aia
アインシュタイン,あいんしゅたいん,ainuain
アインスタイニウム,あいんすたいにうむ,ainuainiuu
アウェー,あうぇー,auee
アヴェニュー,あゔぇにゅー,aenuu
アウグル,あうぐる,auuu
アウストラロピテクス,あうすとらろぴてくす,auuoaoieuu
アウストラロピテクス・アナメンシス,あうすとらろぴてくす・あなめんしす,auuoaoieuuanaeniu
アウター,あうたー,auaa
アウト,あうと,auo
アウトライン,あうとらいん,auoain
アウトソーシング,あうとそーしんぐ,auoooinu
アウトプット,あうとぷっと,auouo
アウトブレイク,あうとぶれいく,auoueiu
アウフヘーベン,あうふへーべん,auueeen
あうら,あうら,aua
阿吽,あうん,aun
あえ,あえ,ae
あえぎ,あえぎ,aei
あえこ,あえこ,aeo
あえだもん,あえだもん,aeaon
アエディリス,あえでぃりす,aeiiu
あえもの,あえもの,aeono
亜鉛,あえん,aen
あお,あお,ao
青,あお,ao
あおあらし,あおあらし,aoaai
あおい,あおい,aoi
アオイ,あおい,aoi
葵,あおい,aoi
あおいがい,あおいがい,aoiai
アオイガイ,あおいがい,aoiai
あおいかずら,あおいかずら,aoiaua
アオイカズラ,あおいかずら,aoiaua
あおいろ,あおいろ,aoio
阿翁,あおう,aou
あおうなばら,あおうなばら,aounaaa
あおうみ,あおうみ,aoui
あおうみがめ,あおうみがめ,aouiae
アオウミガメ,あおうみがめ,aouiae
あおうめ,あおうめ,aoue
あおがえる,あおがえる,aoaeu
あおがね,あおがね,aoane
あおかび,あおかび,aoai
あおき,あおき,aoi
あおぎり,あおぎり,aoii
アオギリ,あおぎり,aoii
青金,あおがね,aoane
あおくび,あおくび,aoui
あおくびあひる,あおくびあひる,aouiaiu
アオクビアヒル,あおくびあひる,aouiaiu
あおくも,あおくも,aouo
あおぐも,あおぐも,aouo
あおげら,あおげら,aoea
アオゲラ,あおげら,aoea
あおさ,あおさ,aoa
アオサ,あおさ,aoa
アオザイ,あおざい,aoai
あおさぎ,あおさぎ,aoai
アオサギ,あおさぎ,aoai
アオジ,あおじ,aoi
あおしお,あおしお,aoio
青写真,あおじゃしん,aoain
青信号,あおしんごう,aoinou
あおすじ,あおすじ,aoui
青筋,あおすじ,aoui
青空,あおぞら,aooa
あおぞら,あおぞら,aooa
あおぞらいちば,あおぞらいちば,aooaiia
あおた,あおた,aoa
あおだいしょう,あおだいしょう,aoaiou
アオダイショウ,あおだいしょう,aoaiou
青大将,あおだいしょう,aoaiou
あおたうり,あおたうり,aoaui
あおたがい,あおたがい,aoaai
あおたがり,あおたがり,aoaai
青丹,あおたん,aoan
青地,あおじ,aoi
青塚,あおつか,aoua
青天井,あおてんじょう,aoenou
あおな,あおな,aona
あおに,あおに,aoni
青二才,あおにさい,aoniai
あおぬた,あおぬた,aonua
あおのき,あおのき,aonoi
あおのけ,あおのけ,aonoe
あおのり,あおのり,aonoi
アオノリ,あおのり,aonoi
あおば,あおば,aoa
アオバエ,あおばえ,aoae
アオバズク,あおばずく,aoauu
あおはた,あおはた,aoaa
アオハタ,あおはた,aoaa
あおばな,あおばな,aoana
あおぼし,あおぼし,aooi
あおみどり,あおみどり,aoioi
あおむき,あおむき,aoui
あおむけ,あおむけ,aoue
あおむし,あおむし,aoui
あおもの,あおもの,aoono
あおものいちば,あおものいちば,aoonoiia
あおものうり,あおものうり,aoonoui
あおものや,あおものや,aoonoa
あおやぎ,あおやぎ,aoai
あおやなぎ,あおやなぎ,aoanai
あおり,あおり,aoi
あおりいか,あおりいか,aoiia
アオリイカ,あおりいか,aoiia
あか,あか,aa
亜科,あか,aa
赤,あか,aa
閼伽,あか,aa
あかあか,あかあか,aaaa
あかあざ,あかあざ,aaaa
アカアサダ,あかあさだ,aaaaa
あかあさだ,あかあさだ,aaaaa
あかあしくわがた,あかあしくわがた,aaaiuaaa
アカアシクワガタ,あかあしくわがた,aaaiuaaa
あかあしげ,あかあしげ,aaaie
アカアズキ,あかあずき,aaaui
あかあずき,あかあずき,aaaui
あかあわ,あかあわ,aaaa
アカアワ,あかあわ,aaaa
あかい,あかい,aai
あかいい,あかいい,aaii
あかいえか,あかいえか,aaiea
アカイエカ,あかいえか,aaiea
あかいとげのくるま,あかいとげのくるま,aaioenouua
あかいぬ,あかいぬ,aainu
あかいろ,あかいろ,aaio
あかいわし,あかいわし,aaiai
あかうお,あかうお,aauo
アカウオ,あかうお,aauo
あかうそ,あかうそ,aauo
アカウツギ,あかうつぎ,aauui
あかうつぎ,あかうつぎ,aauui
あかうま,あかうま,aaua
アカウミガメ,あかうみがめ,aauiae
あかうみがめ,あかうみがめ,aauiae
アカウンタビリティ,あかうんたびりてぃ,aaunaiiei
アカウンティング,あかうんてぃんぐ,aauneinu
アカウント,あかうんと,aauno
アカオオカミ,あかおおかみ,aaooai
あかおとし,あかおとし,aaooi
あかおまな,あかおまな,aaoana
あかおり,あかおり,aaoi
あかがい,あかがい,aaai
アカガイ,あかがい,aaai
あかがえる,あかがえる,aaaeu
アカガエル,あかがえる,aaaeu
あかかがち,あかかがち,aaaai
あかかげ,あかかげ,aaae
あかがし,あかがし,aaai
アカガシ,あかがし,aaai
あかがね,あかがね,aaane
あかかぶ,あかかぶ,aaau
あかがさ,あかがさ,aaaa
あかがしら,あかがしら,aaaia
あかぎ,あかぎ,aai
あかぎつね,あかぎつね,aaiune
アカギツネ,あかぎつね,aaiune
あかぎれ,あかぎれ,aaie
あかげ,あかげ,aae
あかげざる,あかげざる,aaeau
アカゲザル,あかげざる,aaeau
あかげら,あかげら,aaea
アカゲラ,あかげら,aaea
あかご,あかご,aao
あかごめ,あかごめ,aaoe
あかざ,あかざ,aaa
アカザ,あかざ,aaa
あかさび,あかさび,aaai
あかし,あかし,aai
赤字,あかじ,aai
アカシア,あかしあ,aaia
あかしお,あかしお,aaio
赤信号,あかしんごう,aainou
赤頭巾,あかずきん,aauin
赤丹,あかたん,aaan
赤地,あかじ,aai
あかちゃん,あかちゃん,aaan
赤塚,あかつか,aaua
あかつき,あかつき,aaui
あかつち,あかつち,aaui
アカデミア,あかでみあ,aaeia
アカデミー,あかでみー,aaeii
アカデミックハラスメント,あかでみっくはらすめんと,aaeiuaaueno
赤点,あかてん,aaen
赤電,あかでん,aaen
あかとき,あかとき,aaoi
あかときくたち,あかときくたち,aaoiuai
アカトビ,あかとび,aaoi
あかとんぼ,あかとんぼ,aaono
赤肉,あかにく,aaniu
あかぬけ,あかぬけ,aanue
あかね,あかね,aane
アカネ,あかね,aane
あかねいろ,あかねいろ,aaneio
あかねずみ,あかねずみ,aaneui
あかはた,あかはた,aaaa
アカハタ,あかはた,aaaa
赤旗,あかはた,aaaa
あかはだか,あかはだか,aaaaa
あかはら,あかはら,aaaa
アカハラ,あかはら,aaaa
アカハライモリ,あかはらいもり,aaaaioi
アカハラダカ,あかはらだか,aaaaaa
あかひげ,あかひげ,aaie
あかふね,あかふね,aaune
あかふゆうじ,あかふゆうじ,aauuui
あかまた,あかまた,aaaa
アカマタ,あかまた,aaaa
あかまつ,あかまつ,aaau
あかまんぼう,あかまんぼう,aaanou
アカマンボウ,あかまんぼう,aaanou
あかみ,あかみ,aai
あかみず,あかみず,aaiu
あかみち,あかみち,aaii
あかむらさき,あかむらさき,aauaai
あかめ,あかめ,aae
アカモク,あかもく,aaou
あからがお,あからがお,aaaao
あかり,あかり,aai
あがり,あがり,aai
アガリバナ,あがりばな,aaiana
あかるさ,あかるさ,aaua
あかるみ,あかるみ,aaui
あかんべえ,あかんべえ,aanee
あかんぼう,あかんぼう,aanou
赤ん坊,あかんぼう,aanou
あき,あき,ai
秋,あき,ai
あきあかね,あきあかね,aiaane
あきあき,あきあき,aiai
あきあじ,あきあじ,aiai
あきあみ,あきあみ,aiai
あきいえ,あきいえ,aiie
あきかぜ,あきかぜ,aiae
空き缶,あきかん,aian
あきぎり,あきぎり,aiii
あきくさ,あきくさ,aiua
あきぐち,あきぐち,aiui
あきぐも,あきぐも,aiuo
あきご,あきご,aio
秋作,あきさく,aiau
秋桜,こすもす,ouou
あきさめ,あきさめ,aiae
あきしお,あきしお,aiio
