orig,hira,kana,hepburn,kunrei,passport
word,word,word,word,word,word
アース,あーす,アース,aasu,aasu,aasu
愛,あい,アイ,ai,ai,ai
あいあいがさ,あいあいがさ,アイアイガサ,aiaigasa,aiaigasa,aiaigasa
愛飲,あいいん,アイイン,aiin,aiin,aiin
愛煙,あいえん,アイエン,aien,aien,aien
あいがさ,あいがさ,アイガサ,aigasa,aigasa,aigasa
哀願,あいがん,アイガン,aigan,aigan,aigan
愛玩,あいがん,アイガン,aigan,aigan,aigan
愛翫,あいがん,アイガン,aigan,aigan,aigan
愛護,あいご,アイゴ,aigo,aigo,aigo
愛好,あいこう,アイコウ,aikou,aikou,aiko
哀哭,あいこく,アイコク,aikoku,aikoku,aikoku
あいさつ,あいさつ,アイサツ,aisatsu,aisatu,aisatsu
挨拶,あいさつ,アイサツ,aisatsu,aisatu,aisatsu
愛着,あいちゃく,アイチャク,aichaku,aityaku,aichaku
アイシャドー,あいしゃどー,アイシャドー,aishadoo,aisyadoo,aishadoo
愛称,あいしょう,アイショウ,aishou,aisyou,aishou
愛唱,あいしょう,アイショウ,aishou,aisyou,aishou
あいず,あいず,アイズ,aizu,aizu,aizu
哀惜,あいせき,アイセキ,aiseki,aiseki,aiseki
愛惜,あいせき,アイセキ,aiseki,aiseki,aiseki
相席,あいせき,アイセキ,aiseki,aiseki,aiseki
愛蔵,あいぞう,アイゾウ,aizou,aizou,aizou
愛藏,あいぞう,アイゾウ,aizou,aizou,aizou
あいぞめ,あいぞめ,アイゾメ,aizome,aizome,aizome
愛寵,あいちょう,アイチョウ,aichou,aityou,aicho
愛重,あいちょう,アイチョウ,aichou,aityou,aicho
哀痛,あいつう,アイツウ,aitsuu,aituu,aitsuu
哀悼,あいとう,アイトウ,aitou,aitou,aito
あいのり,あいのり,アイノリ,ainori,ainori,ainori
愛猫,あいびょう,アイビョウ,aibyou,aibyou,aibyou
愛撫,あいぶ,アイブ,aibu,aibu,aibu
愛慕,あいぼ,アイボ,aibo,aibo,aibo
愛用,あいよう,アイヨウ,aiyou,aiyou,aiyou
アウフヘーベン,あうふへーべん,アウフヘーベン,aufuheeben,aufuheeben,aufuheeben
あかぎれ,あかぎれ,アカギレ,akagire,akagire,akagire
アカデミックハラスメント,あかでみっくはらすめんと,アカデミックハラスメント,akademikkuharasumento,akademikkuharasumento,akademikkuharasumento
あかんべえ,あかんべえ,アカンベエ,akanbee,akanbee,akambee
あきあき,あきあき,アキアキ,akiaki,akiaki,akiaki
悪影響,あくえいきょう,アクエイキョウ,akueikyou,akueikyou,akueikyou
悪行,あくぎょう,アクギョウ,akugyou,akugyou,akugyou
悪言,あくげん,アクゲン,akugen,akugen,akugen
悪食,あくじき,アクジキ,akujiki,akuziki,akujiki
握手,あくしゅ,アクシュ,akushu,akusyu,akushu
アクセス,あくせす,アクセス,akusesu,akusesu,akusesu
悪戦苦闘,あくせんくとう,アクセンクトウ,akusenkutou,akusenkutou,akusenkuto
悪罵,あくば,アクバ,akuba,akuba,akuba
悪変,あくへん,アクヘン,akuhen,akuhen,akuhen
悪用,あくよう,アクヨウ,akuyou,akuyou,akuyou
アグリー,あぐりー,アグリー,agurii,agurii,agurii
あけくれ,あけくれ,アケクレ,akekure,akekure,akekure
あけしめ,あけしめ,アケシメ,akeshime,akesime,akeshime
あげぞこ,あげぞこ,アゲゾコ,agezoko,agezoko,agezoko
あけたて,あけたて,アケタテ,aketate,aketate,aketate
あさだち,あさだち,アサダチ,asadachi,asadati,asadachi
あさね,あさね,アサネ,asane,asane,asane
朝寝坊,あさねぼう,アサネボウ,asanebou,asanebou,asanebo
あさやけ,あさやけ,アサヤケ,asayake,asayake,asayake
あじつけ,あじつけ,アジツケ,ajitsuke,azituke,ajitsuke
あしぶみ,あしぶみ,アシブミ,ashibumi,asibumi,ashibumi
あじみ,あじみ,アジミ,ajimi,azimi,ajimi
アセスメント,あせすめんと,アセスメント,asesumento,asesumento,asesumento
あだうち,あだうち,アダウチ,adauchi,adauti,adauchi
あだぼれ,あだぼれ,アダボレ,adabore,adabore,adabore
圧,あつ,アツ,atsu,atu,atsu
圧延,あつえん,アツエン,atsuen,atuen,atsuen
悪化,あっか,アッカ,akka,akka,akka
あつぎり,あつぎり,アツギリ,atsugiri,atugiri,atsugiri
厚化粧,あつげしょう,アツゲショウ,atsugeshou,atugesyou,atsugeshou
圧搾,あっさく,アッサク,assaku,assaku,assaku
圧殺,あっさつ,アッサツ,assatsu,assatu,assatsu
圧死,あっし,アッシ,asshi,assi,asshi
圧縮,あっしゅく,アッシュク,asshuku,assyuku,asshuku
圧勝,あっしょう,アッショウ,asshou,assyou,asshou
圧制,あっせい,アッセイ,assei,assei,assei
あっせん,あっせん,アッセン,assen,assen,assen
斡旋,あっせん,アッセン,assen,assen,assen
圧着,あっちゃく,アッチャク,atchaku,attyaku,atchaku
圧倒,あっとう,アットウ,attou,attou,attou
圧入,あつにゅう,アツニュウ,atsunyuu,atunyuu,atsunyuu
圧迫,あっぱく,アッパク,appaku,appaku,appaku
アップ,あっぷ,アップ,appu,appu,appu
圧服,あっぷく,アップク,appuku,appuku,appuku
アップグレード,あっぷぐれーど,アップグレード,appugureedo,appugureedo,appugureedo
アップデート,あっぷでーと,アップデート,appudeeto,appudeeto,appudeeto
アップロード,あっぷろーど,アップロード,appuroodo,appuroodo,appuroodo
圧抑,あつよく,アツヨク,atsuyoku,atuyoku,atsuyoku
軋轢,あつれき,アツレキ,atsureki,atureki,atsureki
あてこすり,あてこすり,アテコスリ,atekosuri,atekosuri,atekosuri
あてにげ,あてにげ,アテニゲ,atenige,atenige,atenige
あとおし,あとおし,アトオシ,atooshi,atoosi,atooshi
あとがき,あとがき,アトガキ,atogaki,atogaki,atogaki
後始末,あとしまつ,アトシマツ,atoshimatsu,atosimatu,atoshimatsu
あとずさり,あとずさり,アトズサリ,atozusari,atozusari,atozusari
アドバイス,あどばいす,アドバイス,adobaisu,adobaisu,adobaisu
あとばらい,あとばらい,アトバライ,atobarai,atobarai,atobarai
あとまわし,あとまわし,アトマワシ,atomawashi,atomawasi,atomawashi
あともどり,あともどり,アトモドリ,atomodori,atomodori,atomodori
あなうめ,あなうめ,アナウメ,anaume,anaume,anaume
アナルセックス,あなるせっくす,アナルセックス,anarusekkusu,anarusekkusu,anarusekkusu
アピール,あぴーる,アピール,apiiru,apiiru,apiiru
アフィリエイト,あふぃりえいと,アフィリエイト,afirieito,afirieito,afuirieito
アフィリエート,あふぃりえーと,アフィリエート,afirieeto,afirieeto,afuirieeto
アフターケア,あふたーけあ,アフターケア,afutaakea,afutaakea,afutaakea
アプローチ,あぷろーち,アプローチ,apuroochi,apurooti,apuroochi
アベンド,あべんど,アベンド,abendo,abendo,abendo
アボート,あぼーと,アボート,abooto,abooto,abooto
あまがみ,あまがみ,アマガミ,amagami,amagami,amagami
あまごい,あまごい,アマゴイ,amagoi,amagoi,amagoi
あまもり,あまもり,アマモリ,amamori,amamori,amamori
あまやどり,あまやどり,アマヤドリ,amayadori,amayadori,amayadori
あみもの,あみもの,アミモノ,amimono,amimono,amimono
あめふり,あめふり,アメフリ,amefuri,amefuri,amefuri
阿諛,あゆ,アユ,ayu,ayu,ayu
あらいはり,あらいはり,アライハリ,araihari,araihari,araihari
あらさがし,あらさがし,アラサガシ,arasagashi,arasagasi,arasagashi
アルバイト,あるばいと,アルバイト,arubaito,arubaito,arubaito
アレンジ,あれんじ,アレンジ,arenji,arenzi,arenji
安慰,あんい,アンイ,an'i,an'i,ani
アンインストール,あんいんすとーる,アンインストール,an'insutooru,an'insutooru,aninsutooru
安臥,あんが,アンガ,anga,anga,anga
暗記,あんき,アンキ,anki,anki,anki
諳記,あんき,アンキ,anki,anki,anki
行脚,あんぎゃ,アンギャ,angya,angya,angya
アンケート,あんけーと,アンケート,ankeeto,ankeeto,ankeeto
安居,あんきょ,アンキョ,ankyo,ankyo,ankyo
暗合,あんごう,アンゴウ,angou,angou,angou
暗号化,あんごうか,アンゴウカ,angouka,angouka,angouka
接続,せつぞく,セツゾク,setsuzoku,setuzoku,setsuzoku
暗殺,あんさつ,アンサツ,ansatsu,ansatu,ansatsu
安産,あんざん,アンザン,anzan,anzan,anzan
暗算,あんざん,アンザン,anzan,anzan,anzan
暗視,あんし,アンシ,anshi,ansi,anshi
暗示,あんじ,アンジ,anji,anzi,anji
