orig,hira,vowel
アース,あーす,aau
愛,あい,ai
あいあいがさ,あいあいがさ,aiaiaa
愛飲,あいいん,aiin
愛煙,あいえん,aien
あいがさ,あいがさ,aiaa
哀願,あいがん,aian
愛玩,あいがん,aian
愛翫,あいがん,aian
愛護,あいご,aio
愛好,あいこう,aiou
哀哭,あいこく,aiou
あいさつ,あいさつ,aiau
挨拶,あいさつ,aiau
愛着,あいちゃく,aiau
アイシャドー,あいしゃどー,aiaoo
愛称,あいしょう,aiou
愛唱,あいしょう,aiou
あいず,あいず,aiu
哀惜,あいせき,aiei
愛惜,あいせき,aiei
相席,あいせき,aiei
愛蔵,あいぞう,aiou
愛藏,あいぞう,aiou
あいぞめ,あいぞめ,aioe
愛寵,あいちょう,aiou
愛重,あいちょう,aiou
哀痛,あいつう,aiuu
哀悼,あいとう,aiou
あいのり,あいのり,ainoi
愛猫,あいびょう,aiou
愛撫,あいぶ,aiu
愛慕,あいぼ,aio
愛用,あいよう,aiou
アウフヘーベン,あうふへーべん,auueeen
あかぎれ,あかぎれ,aaie
アカデミックハラスメント,あかでみっくはらすめんと,aaeiuaaueno
あかんべえ,あかんべえ,aanee
あきあき,あきあき,aiai
悪影響,あくえいきょう,aueiou
悪行,あくぎょう,auou
悪言,あくげん,auen
悪食,あくじき,auii
握手,あくしゅ,auu
アクセス,あくせす,aueu
悪戦苦闘,あくせんくとう,auenuou
悪罵,あくば,aua
悪変,あくへん,auen
悪用,あくよう,auou
アグリー,あぐりー,auii
あけくれ,あけくれ,aeue
あけしめ,あけしめ,aeie
あげぞこ,あげぞこ,aeoo
あけたて,あけたて,aeae
あさだち,あさだち,aaai
あさね,あさね,aane
朝寝坊,あさねぼう,aaneou
あさやけ,あさやけ,aaae
あじつけ,あじつけ,aiue
あしぶみ,あしぶみ,aiui
あじみ,あじみ,aii
アセスメント,あせすめんと,aeueno
あだうち,あだうち,aaui
あだぼれ,あだぼれ,aaoe
圧,あつ,au
圧延,あつえん,auen
悪化,あっか,aa
あつぎり,あつぎり,auii
厚化粧,あつげしょう,aueou
圧搾,あっさく,aau
圧殺,あっさつ,aau
圧死,あっし,ai
圧縮,あっしゅく,auu
圧勝,あっしょう,aou
圧制,あっせい,aei
あっせん,あっせん,aen
斡旋,あっせん,aen
圧着,あっちゃく,aau
圧倒,あっとう,aou
圧入,あつにゅう,aunuu
圧迫,あっぱく,aau
アップ,あっぷ,au
圧服,あっぷく,auu
アップグレード,あっぷぐれーど,auueeo
アップデート,あっぷでーと,aueeo
アップロード,あっぷろーど,auooo
圧抑,あつよく,auou
軋轢,あつれき,auei
あてこすり,あてこすり,aeoui
あてにげ,あてにげ,aenie
あとおし,あとおし,aooi
あとがき,あとがき,aoai
後始末,あとしまつ,aoiau
あとずさり,あとずさり,aouai
アドバイス,あどばいす,aoaiu
あとばらい,あとばらい,aoaai
あとまわし,あとまわし,aoaai
あともどり,あともどり,aoooi
あなうめ,あなうめ,anaue
アナルセックス,あなるせっくす,anaueuu
アピール,あぴーる,aiiu
アフィリエイト,あふぃりえいと,aiieio
アフィリエート,あふぃりえーと,aiieeo
アフターケア,あふたーけあ,auaaea
アプローチ,あぷろーち,auooi
アベンド,あべんど,aeno
アボート,あぼーと,aooo
あまがみ,あまがみ,aaai
あまごい,あまごい,aaoi
あまもり,あまもり,aaoi
あまやどり,あまやどり,aaaoi
あみもの,あみもの,aiono
あめふり,あめふり,aeui
阿諛,あゆ,au
あらいはり,あらいはり,aaiai
あらさがし,あらさがし,aaaai
アルバイト,あるばいと,auaio
アレンジ,あれんじ,aeni
安慰,あんい,ani
アンインストール,あんいんすとーる,aninuoou
安臥,あんが,ana
暗記,あんき,ani
諳記,あんき,ani
行脚,あんぎゃ,ana
アンケート,あんけーと,aneeo
安居,あんきょ,ano
暗合,あんごう,anou
暗号化,あんごうか,anoua
接続,せつぞく,euou
暗殺,あんさつ,anau
安産,あんざん,anan
暗算,あんざん,anan
暗視,あんし,ani
暗示,あんじ,ani
安住,あんじゅう,anuu
案出,あんしゅつ,anuu
暗唱,あんしょう,anou
暗誦,あんしょう,anou
諳誦,あんしょう,anou
安心,あんしん,anin
安息,あんそく,anou
安置,あんち,ani
安着,あんちゃく,anau
暗中模索,あんちゅうもさく,anuuoau
安定,あんてい,anei
暗転,あんてん,anen
あんど,あんど,ano
安堵,あんど,ano
案内,あんない,annai
安養,あんよう,anou
按排,あんばい,anai
按配,あんばい,anai
案配,あんばい,anai
按腹,あんぷく,anuu
按分,あんぶん,anun
案分,あんぶん,anun
按摩,あんま,ana
安眠,あんみん,anin
暗躍,あんやく,anau
あんよ,あんよ,ano
いあつ,いあつ,iau
威圧,いあつ,iau
慰安,いあん,ian
逶迤,いい,ii
いいつけ,いいつけ,iiue
いいね,いいね,iine
いいのがれ,いいのがれ,iinoae
いいひらき,いいひらき,iiiai
いいわけ,いいわけ,iiae
怡悦,いえつ,ieu
いえで,いえで,iee
家出,いえで,iee
威嚇,いかく,iau
移監,いかん,ian
移管,いかん,ian
委棄,いき,ii
意企,いき,ii
遺棄,いき,ii
いきき,いきき,iii
意気投合,いきとうごう,iiouou
いきぬき,いきぬき,iinui
依拠,いきょ,io
移居,いきょ,io
育児,いくじ,iui
育成,いくせい,iuei
育苗,いくびょう,iuou
育毛,いくもう,iuou
畏敬,いけい,iei
いけどり,いけどり,ieoi
意見,いけん,ien
移建,いけん,ien
遺言,ゆいごん,uion
移行,いこう,iou
移項,いこう,iou
いさかい,いさかい,iaai
縊殺,えいさつ,eiau
意志,いし,ii
移徙,いし,ii
縊死,いし,ii
遺矢,いし,ii
頤使,いし,ii
頤指,いし,ii
医治,いじ,ii
維持,いじ,ii
意識,いしき,iii
意思決定,いしけってい,iieei
遺失,いしつ,iiu
意思表示,いしひょうじ,iioui
慰藉,いしゃ,ia
慰謝,いしゃ,ia
蝟集,いしゅう,iuu
移住,いじゅう,iuu
委縮,いしゅく,iuu
萎縮,いしゅく,iuu
移乗,いじょう,iou
移譲,いじょう,iou
委譲,いじょう,iou
異常終了,いじょうしゅうりょう,iouuuou
依嘱,いしょく,iou
移植,いしょく,iou
遺嘱,いしょく,iou
いすとり,いすとり,iuoi
為政,いせい,iei
遺精,いせい,iei
移籍,いせき,iei
移設,いせつ,ieu
遺贈,いぞう,iou
いそうろう,いそうろう,iouou
依存,いぞん,ion
遺存,いぞん,ion
依託,いたく,iau
委託,いたく,iau
いたずら,いたずら,iaua
いたずらがき,いたずらがき,iauaai
いたずらじに,いたずらじに,iauaini
いたちごっこ,いたちごっこ,iaioo
位置,いち,ii
一握,いちあく,iiau
移築,いちく,iiu
一言,ひとこと,iooo
一巡,いちじゅん,iiun
一段落,ひとだんらく,ioanau
一任,いちにん,iinin
一望,いちぼう,iiou
一揖,いちゆう,iiuu
移牒,いちょう,iou
一覧,いちらん,iian
一礼,いちれい,iiei
一喝,いっかつ,iau
一貫,いっかん,ian
逸機,いっき,ii
一喜一憂,いっきいちゆう,iiiiuu
一計,いっけい,iei
一決,いっけつ,ieu
溢血,いっけつ,ieu
一見,いっけん,ien
一顧,いっこ,io
一考,いっこう,iou
一死,いっし,ii
一周,いっしゅう,iuu
一蹴,いっしゅう,iuu
一笑,いっしょう,iou
一新,いっしん,iin
一進一退,いっしんいったい,iiniai
溢水,いっすい,iui
一掃,いっそう,iou
一体化,いったいか,iaia
逸脱,いつだつ,iuau
一致,いっち,ii
一定,いってい,iei
一擲,いってき,iei
一転,いってん,ien
一刀,いっとう,iou
一般化,いっぱんか,iana
一服,いっぷく,iuu
一変,いっぺん,ien
一報,いっぽう,iou
移転,いてん,ien
遺伝,いでん,ien
意図,いと,io
異動,いどう,iou
移動,いどう,iou
井戸端会議,いどばたかいぎ,ioaaaii
いとまごい,いとまごい,ioaoi
稲作,いなさく,inaau
囲繞,いじょう,iou
遺尿,いにょう,inou
委任,いにん,inin
いぬじに,いぬじに,inuini
いねむり,いねむり,ineui
いのちごい,いのちごい,inoioi
いのちびろい,いのちびろい,inoiioi
違背,いはい,iai
威迫,いはく,iau
いばり,いばり,iai
違反,いはん,ian
違犯,いはん,ian
慰撫,いぶ,iu
衣服,いふく,iuu
移封,いほう,iou
意味,いみ,ii
移民,いみん,iin
イメージ,いめーじ,ieei
イメージチェンジ,いめーじちぇんじ,ieeieni
イメチェン,いめちぇん,ieen
慰問,いもん,ion
いやがらせ,いやがらせ,iaaae
意訳,いやく,iau
違約,いやく,iau
嫌気,いやけ,iae
依頼,いらい,iai
慰留,いりゅう,iuu
移流,いりゅう,iuu
遺留,いりゅう,iuu
慰霊,いれい,iei
違令,いれい,iei
イレギュラー,いれぎゅらー,ieuaa
慰労,いろう,iou
いろどり,いろどり,iooi
允可,いんか,ina
印可,いんか,ina
印花,いんか,ina
引火,いんか,ina
允許,いんきょ,ino
隠居,いんきょ,ino
引見,いんけん,inen
印行,いんこう,inou
引航,いんこう,inou
印刷,いんさつ,inau
印字,いんじ,ini
飲酒,いんしゅ,inu
飲酒運転,いんしゅうんてん,inuunen
飲食,いんしょく,inou
引水,いんすい,inui
飲水,いんすい,inui
インストール,いんすとーる,inuoou
インスパイア,いんすぱいあ,inuaia
隠栖,いんせい,inei
隠棲,いんせい,inei
奉納,ほうのう,ounou
引責,いんせき,inei
引率,いんそつ,inou
引退,いんたい,inai
隠退,いんたい,inai
引致,いんち,ini
淫蕩,いんとう,inou
隠匿,いんとく,inou
隠遁,いんとん,inon
隠忍,いんにん,innin
隠避,いんぴ,ini
インプット,いんぷっと,inuo
隠蔽,いんぺい,inei
隠滅,いんめつ,ineu
引用,いんよう,inou
ウインク,ういんく,uinu
うえじに,うえじに,ueini
右往左往,うおうさおう,uouaou
ウォーキング,うぉーきんぐ,uooinu
ウォーミングアップ,うぉーみんぐあっぷ,uooinuau
ウォームアップ,うぉーむあっぷ,uoouau
羽化,うか,ua
迂回,うかい,uai
うがい,うがい,uai
うきよばなれ,うきよばなれ,uioanae
右傾,うけい,uei
うけおい,うけおい,ueoi
うけこたえ,うけこたえ,ueoae
うけわたし,うけわたし,ueaai
烏合,うごう,uou
右顧左眄,うこさべん,uoaen
齲蝕,うしょく,uou
うすぎり,うすぎり,uuii
薄化粧,うすげしょう,uueou
右折,うせつ,ueu
雨雪,あめゆき,aeui
うたたね,うたたね,uaane
うちあわせ,うちあわせ,uiaae
うちいわい,うちいわい,uiiai
うちけし,うちけし,uiei
うちこわし,うちこわし,uioai
うちじに,うちじに,uiini
宇宙開発,うちゅうかいはつ,uuuaiau
うちわもめ,うちわもめ,uiaoe
鬱屈,うっくつ,uuu
鬱血,うっけつ,ueu
鬱積,うっせき,uei
うったて,うったて,uae
うつりかわり,うつりかわり,uuiaai
うでぐみ,うでぐみ,ueui
うでまくり,うでまくり,ueaui
うとんずる,うとんずる,uonuu
紆余曲折,うよきょくせつ,uooueu
羽翼,うよく,uou
うらうち,うらうち,uaui
うらがき,うらがき,uaai
うらばり,うらばり,uaai
うりかい,うりかい,uiai
うりきれ,うりきれ,uiie
うるしぬり,うるしぬり,uuinui
うわがき,うわがき,uaai
うわき,うわき,uai
浮気,うわき,uai
うわさ,うわさ,uaa
うわづみ,うわづみ,uaui
うわのせ,うわのせ,uanoe
運営,うんえい,unei
運休,うんきゅう,unuu
運行,うんこう,unou
運算,うんざん,unan
雲集,うんしゅう,unuu
運上,うんじょう,unou
運漕,うんそう,unou
運送,うんそう,unou
うんち,うんち,uni
運転,うんてん,unen
運動,うんどう,unou
云云,うんぬん,unnun
運搬,うんぱん,unan
運用,うんよう,unou
盈虧,えいき,eii
影響,えいきょう,eiou
営業,えいぎょう,eiou
詠吟,えいぎん,eiin
永訣,えいけつ,eieu
栄枯,えいこ,eio
曳行,えいこう,eiou
詠史,えいし,eii
映写,えいしゃ,eia
永住,えいじゅう,eiuu
詠唱,えいしょう,eiou
栄進,えいしん,eiin
詠進,えいしん,eiin
永逝,えいせい,eiei
営繕,えいぜん,eien
営巣,えいそう,eiou
営造,えいぞう,eiou
永続,えいぞく,eiou
栄達,えいたつ,eiau
詠嘆,えいたん,eian
詠歎,えいたん,eian
栄転,えいてん,eien
営農,えいのう,einou
